_id,url
ObjectId(5874c37725149736a833a959),http://bj.58.com/shouji/28421999120199x.shtml
ObjectId(5874c37725149736a833a95a),http://bj.58.com/shouji/28395374446636x.shtml
ObjectId(5874c37725149736a833a95b),http://bj.58.com/shouji/28676873020854x.shtml
ObjectId(5874c37725149736a833a95c),http://bj.58.com/shouji/28387946959048x.shtml
ObjectId(5874c37725149736a833a95d),http://bj.58.com/shouji/28377218732360x.shtml
ObjectId(5874c37725149736a833a95e),http://bj.58.com/shouji/28666857175246x.shtml
ObjectId(5874c37725149736a833a95f),http://bj.58.com/shouji/28001072686009x.shtml
ObjectId(5874c37725149736a833a960),http://bj.58.com/shouji/28676977073970x.shtml
ObjectId(5874c37725149736a833a961),http://bj.58.com/shouji/28676839369798x.shtml
ObjectId(5874c37725149736a833a962),http://bj.58.com/shouji/28676740224042x.shtml
ObjectId(5874c37725149736a833a963),http://bj.58.com/shouji/28677014237377x.shtml
ObjectId(5874c37725149736a833a964),http://bj.58.com/shouji/28290252760137x.shtml
ObjectId(5874c37725149736a833a965),http://bj.58.com/shouji/28676965521460x.shtml
ObjectId(5874c37725149736a833a966),http://bj.58.com/shouji/27799399925197x.shtml
ObjectId(5874c37725149736a833a967),http://bj.58.com/shouji/28676899345217x.shtml
ObjectId(5874c37725149736a833a968),http://bj.58.com/shouji/28676886103487x.shtml
ObjectId(5874c37725149736a833a969),http://bj.58.com/shouji/28556498693581x.shtml
ObjectId(5874c37725149736a833a96a),http://bj.58.com/shouji/28386188644294x.shtml
ObjectId(5874c37725149736a833a96b),http://bj.58.com/shouji/28385890371753x.shtml
ObjectId(5874c37925149736a833a96c),http://bj.58.com/shouji/28386093752497x.shtml
ObjectId(5874c37925149736a833a96d),http://bj.58.com/shouji/28386228120781x.shtml
ObjectId(5874c37925149736a833a96e),http://bj.58.com/shouji/28385920497348x.shtml
ObjectId(5874c37925149736a833a96f),http://bj.58.com/shouji/28386111671754x.shtml
ObjectId(5874c37925149736a833a970),http://bj.58.com/shouji/28386143425449x.shtml
ObjectId(5874c37925149736a833a971),http://bj.58.com/shouji/28386150760875x.shtml
ObjectId(5874c37925149736a833a972),http://bj.58.com/shouji/28234286122796x.shtml
ObjectId(5874c37925149736a833a973),http://bj.58.com/shouji/28385912428623x.shtml
ObjectId(5874c37925149736a833a974),http://bj.58.com/shouji/28375229174333x.shtml
ObjectId(5874c37925149736a833a975),http://bj.58.com/shouji/28375210718902x.shtml
ObjectId(5874c37925149736a833a976),http://bj.58.com/shouji/28355444036406x.shtml
ObjectId(5874c37925149736a833a977),http://bj.58.com/shouji/28353842781766x.shtml
ObjectId(5874c37925149736a833a978),http://bj.58.com/shouji/28440566432457x.shtml
ObjectId(5874c37925149736a833a979),http://bj.58.com/shouji/28442432991410x.shtml
ObjectId(5874c37925149736a833a97a),http://bj.58.com/shouji/28442449762744x.shtml
ObjectId(5874c37925149736a833a97b),http://bj.58.com/shouji/28442415838650x.shtml
ObjectId(5874c37925149736a833a97c),http://bj.58.com/shouji/28442374314027x.shtml
ObjectId(5874c37925149736a833a97d),http://bj.58.com/shouji/28442223335619x.shtml
ObjectId(5874c37925149736a833a97e),http://bj.58.com/shouji/28442206845120x.shtml
ObjectId(5874c37925149736a833a97f),http://bj.58.com/shouji/28442402379959x.shtml
ObjectId(5874c37925149736a833a980),http://bj.58.com/shouji/28442266567240x.shtml
ObjectId(5874c37925149736a833a981),http://bj.58.com/shouji/28442186798532x.shtml
