_id,date,url,title,price
ObjectId(5874c4052514974aa01916af),,http://jump.zhineng.58.com/jump,【58同城 58.com】南京分类信息 - 本地 免费 高效,
ObjectId(5874c40525149736a833af69),2016-12-24,http://bj.58.com/shouji/26233178551496x.shtml,"【图】
        自己用的手机便宜卖了 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c405251497470c220fcd),2016-12-19,http://bj.58.com/shouji/28430593578808x.shtml,"【图】
        苹果6Splus 国行64G 金色 支持验机 - 北京二手手机 - 北京58同城",3000
ObjectId(5874c405251497514085c38a),2016-12-20,http://bj.58.com/shouji/28442223335619x.shtml,"【图】
        北京高价上门收售三星s7苹果6SP华为小米手机ipad平板电脑 - 北京二手手机 - 北京58同城",2600
ObjectId(5874c40525149736a833af6a),2016-12-24,http://bj.58.com/shouji/28487491529014x.shtml,"【图】
        三星S7edge 国行32G 黑色 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c405251497470c220fce),2016-12-19,http://bj.58.com/shouji/28430908500293x.shtml,"【图】
        诚意转让自用iPhone4 买就送 - 北京二手手机 - 北京58同城",300
ObjectId(5874c405251497514085c38b),2016-12-20,http://bj.58.com/shouji/28442206845120x.shtml,"【图】
        北京上门高价收售oppo手机vivo手机华为小米苹果三星手机 - 北京二手手机 - 北京58同城",3600
ObjectId(5874c4052514974aa01916b0),2017-01-10,http://bj.58.com/shouji/28280182921676x.shtml,"【图】
        华为p8 便宜出售 - 北京二手手机 - 北京58同城",400
ObjectId(5874c40525149736a833af6b),2017-01-10,http://bj.58.com/shouji/26628539329986x.shtml,"【图】
        三网通苹果6 - 北京二手苹果手机 - 北京58同城",2600
ObjectId(5874c406251497470c220fcf),2016-12-19,http://bj.58.com/shouji/28413371124679x.shtml,"【图】
        有看中的，就联系我吧！ - 北京二手手机 - 北京58同城",2400
ObjectId(5874c406251497514085c38c),2016-12-20,http://bj.58.com/shouji/28442402379959x.shtml,"【图】
        上门收售苹果7华为手机三星S7oppoR9vivo手机苹果ipad - 北京二手手机 - 北京58同城",4300
ObjectId(5874c4062514974aa01916b1),2017-01-10,http://bj.58.com/shouji/25746537517879x.shtml,"【图】
        华为荣耀7i - 北京二手华为手机 - 北京58同城",400
ObjectId(5874c40625149736a833af6c),2017-01-10,http://bj.58.com/shouji/25967530388432x.shtml,"【图】
        正品好用的诺基亚手机便宜转让 - 北京二手手机 - 北京58同城",150
ObjectId(5874c406251497470c220fd0),2016-12-19,http://bj.58.com/shouji/28430617332660x.shtml,"【图】
        苹果7 国行 128G 正品行货 - 北京二手手机 - 北京58同城",3500
ObjectId(5874c406251497514085c38d),2016-12-20,http://bj.58.com/shouji/28442266567240x.shtml,"【图】
        Apple/苹果 iPhone 7 128G全新未开封5500 - 北京二手手机 - 北京58同城",5500
ObjectId(5874c4062514974aa01916b2),2017-01-10,http://bj.58.com/shouji/27149539952302x.shtml,"【图】
        魅族mx5便宜出售 - 北京二手魅族手机 - 北京58同城",500
ObjectId(5874c40625149736a833af6d),2017-01-10,http://bj.58.com/shouji/28522266022971x.shtml,"【图】
        苹果6plus - 北京二手手机 - 北京58同城",3500
ObjectId(5874c406251497514085c38e),2016-12-20,http://bj.58.com/shouji/28442186798532x.shtml,"【图】
        华为 P9 plus 双卡双待4G手机 全网通(4GRAM+64GROM)标配 - 北京二手手机 - 北京58同城",3500
ObjectId(5874c406251497470c220fd1),2016-12-19,http://bj.58.com/shouji/28430586258107x.shtml,"【图】
        苹果6S国行灰色支持验机 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c4062514974aa01916b3),2017-01-10,http://bj.58.com/shouji/28677918273973x.shtml,"【图】
        苹果6 国行 16G 金色 支持验机 - 北京二手手机 - 北京58同城",1300
ObjectId(5874c40625149736a833af6e),2017-01-10,http://bj.58.com/shouji/28642315960893x.shtml,"【图】
        苹果6plus一直用了半年，换7了、 - 北京二手手机 - 北京58同城",2200
ObjectId(5874c406251497470c220fd2),2016-12-30,http://bj.58.com/shouji/28552777758398x.shtml,"【图】
        三星S7edge 国行32G 金色 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c406251497514085c38f),2016-12-20,http://bj.58.com/shouji/28442392361395x.shtml,"【图】
        三星S7曲屏 无拆修 9成新 配件全 有发票 - 北京二手手机 - 北京58同城",1500
ObjectId(5874c4062514974aa01916b4),2017-01-10,http://bj.58.com/shouji/28591133085494x.shtml,"【图】
        苹果6plus 国行 没修过 二手正品行货 - 北京二手手机 - 北京58同城",1500
ObjectId(5874c40725149736a833af6f),2017-01-10,http://bj.58.com/shouji/28643834229318x.shtml,"【图】
        iphone7 plus 32g 玫瑰金 - 北京二手手机 - 北京58同城",5450
ObjectId(5874c407251497470c220fd3),2016-12-30,http://bj.58.com/shouji/28552980023758x.shtml,"【图】
        自用原装9成新IPhone6低价出售 - 北京二手手机 - 北京58同城",1850
ObjectId(5874c407251497514085c390),2016-12-20,http://bj.58.com/shouji/28442245638863x.shtml,"【图】
        北京上门收售苹果6P三星s7华为小米手机ipad平板电脑 - 北京二手手机 - 北京58同城",2600
ObjectId(5874c4072514974aa01916b5),2016-12-25,http://bj.58.com/shouji/28496641130822x.shtml,"【图】
        苹果6S国行灰色支持验机 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c40725149736a833af70),2017-01-10,http://bj.58.com/shouji/23134565760265x.shtml,"【图】
        全新手机分期付款苹果6S 6sPlus，并且6000元手机支持0首付！ - 北京二手手机 - 北京58同城",6888
